"Cód.";"Município";"Abacate";"Abacaxi";"Açaí";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Azeitona";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Cana-de-açúcar";"Cana para forragem";"Caqui";"Castanha de caju";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Chá-da-índia (folha verde)";"Coco-da-baía";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Figo";"Fumo (em folha)";"Girassol (em grão)";"Goiaba";"Guaraná (semente)";"Juta (fibra)";"Laranja";"Limão";"Linho (semente)";"Maçã";"Malva (fibra)";"Mamão";"Mamona (baga)";"Mandioca";"Manga";"Maracujá";"Marmelo";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Rami (fibra)";"Sisal ou agave (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tangerina";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"5209291";"Guaraíta (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"450";"-";"-";"68";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"102";"-";"-";"-";"1050";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5209408";"Guarani de Goiás (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"48";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"915";"-";"-";"-";"-";"-";"-";"-";"-"
"5209457";"Guarinos (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"25";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"100";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5209606";"Heitoraí (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"148";"-";"-";"710";"-";"-";"-";"...";"-";"-";"-";"-";"...";"17500";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4350";"-";"3950";"-";"-";"-";"-";"-";"-";"-";"437";"210";"-";"-";"-";"-";"-";"-";"-"
"5209705";"Hidrolândia (GO)";"-";"45";"-";"...";"-";"-";"-";"-";"-";"-";"-";"348";"-";"-";"-";"...";"-";"47";"47";"-";"...";"1400";"...";"-";"-";"-";"-";"-";"-";"243";"-";"-";"-";"-";"2172";"-";"-";"104";"-";"-";"-";"13119";"-";"-";"-";"-";"100";"-";"1275";"-";"-";"-";"-";"-";"5723";"-";"-";"-";"-";"-";"-";"-";"12408";"660";"1500";"16500";"-";"-";"-";"-";"240"
"5209804";"Hidrolina (GO)";"-";"5750";"-";"...";"-";"-";"-";"-";"-";"-";"-";"90";"-";"-";"572";"...";"-";"-";"-";"-";"...";"54400";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1800";"-";"-";"-";"-";"-";"1500";"-";"135";"-";"-";"-";"-";"-";"11620";"-";"-";"-";"-";"-";"-";"-";"-"
"5209903";"Iaciara (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"640";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1056";"-";"-";"-";"-";"-";"-";"-";"2225";"630";"-";"-";"-";"-";"-";"-";"-"
"5209937";"Inaciolândia (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"41";"...";"-";"-";"-";"-";"...";"1566130";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1710";"-";"-";"-";"-";"-";"-";"120";"-";"-";"-";"-";"-";"16544";"-";"-";"-";"-";"-";"-";"-";"28600";"3600";"-";"-";"-";"-";"-";"-";"-"
"5209952";"Indiara (GO)";"-";"530";"-";"...";"-";"-";"-";"-";"-";"-";"-";"260";"-";"-";"-";"...";"-";"-";"-";"-";"...";"960000";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"948";"-";"-";"-";"-";"-";"-";"1500";"-";"-";"-";"-";"-";"-";"495";"-";"-";"-";"-";"-";"32411";"-";"-";"-";"-";"-";"-";"-";"44800";"5825";"-";"-";"-";"-";"-";"-";"-"
"5210000";"Inhumas (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"1675";"-";"-";"-";"...";"-";"575";"575";"-";"...";"565173";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"519";"-";"-";"-";"-";"-";"-";"6100";"1739";"-";"-";"-";"-";"-";"9000";"-";"-";"-";"-";"-";"11135";"-";"-";"-";"-";"-";"-";"-";"2628";"-";"565";"-";"-";"-";"-";"-";"-"
"5210109";"Ipameri (GO)";"180";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"1120";"1120";"-";"...";"249999";"...";"-";"-";"6500";"-";"-";"-";"-";"-";"-";"-";"-";"7840";"-";"-";"3488";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2500";"-";"-";"-";"-";"-";"193200";"-";"-";"-";"-";"-";"-";"-";"304000";"39600";"-";"5640";"225";"-";"-";"-";"-"
"5210158";"Ipiranga de Goiás (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"120";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"368500";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"480";"-";"-";"-";"3360";"-";"1560";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5210208";"Iporá (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"260";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3400";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"13200";"-";"-";"-";"-";"-";"-";"-";"-"
"5210307";"Israelândia (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"540";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2970";"-";"-";"-";"-";"-";"-";"-";"-"
"5210406";"Itaberaí (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"236";"-";"-";"1768";"-";"-";"-";"...";"-";"-";"-";"-";"...";"212514";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4170";"-";"-";"-";"-";"-";"-";"24867";"-";"-";"-";"-";"-";"-";"2800";"-";"-";"-";"9782";"-";"60553";"-";"-";"-";"-";"-";"-";"-";"70200";"27000";"-";"52929";"-";"-";"-";"-";"560"
"5210562";"Itaguari (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"1050";"-";"-";"-";"...";"-";"-";"-";"-";"...";"1452";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2450";"55";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5500";"-";"2000";"-";"-";"-";"-";"-";"-";"-";"726";"-";"-";"-";"-";"-";"-";"-";"-"
"5210604";"Itaguaru (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"227";"-";"-";"13730";"-";"-";"-";"...";"-";"45";"45";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3780";"-";"969";"-";"146";"-";"-";"-";"-";"-";"400";"-";"-";"-";"-";"-";"-";"-";"-"
"5210802";"Itajá (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"110";"-";"-";"-";"-";"-";"189";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5210901";"Itapaci (GO)";"-";"720";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"23";"...";"-";"-";"-";"-";"...";"507000";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"480";"-";"-";"-";"8000";"-";"4150";"-";"-";"-";"-";"-";"-";"-";"3000";"700";"-";"-";"-";"-";"-";"-";"-"
"5211008";"Itapirapuã (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1000";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"300";"-";"-";"-";"-";"-";"1800";"-";"-";"-";"-";"-";"-";"-";"840";"-";"-";"-";"-";"-";"-";"-";"-"
"5211206";"Itapuranga (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"48";"-";"-";"72";"-";"-";"-";"...";"-";"-";"-";"-";"...";"494200";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"280";"-";"300";"-";"1800";"-";"12000";"-";"1600";"-";"7220";"-";"-";"-";"-";"-";"552";"150";"-";"-";"-";"-";"-";"-";"-"
"5211305";"Itarumã (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"120";"-";"-";"-";"...";"-";"-";"-";"-";"...";"668522";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"220";"-";"-";"-";"-";"-";"3705";"-";"-";"-";"-";"-";"-";"-";"7680";"-";"-";"-";"-";"-";"-";"-";"-"
"5211404";"Itauçu (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"9050";"-";"-";"-";"...";"-";"292";"292";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"166";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4500";"-";"-";"-";"-";"-";"-";"-";"2000";"680";"-";"-";"-";"-";"-";"-";"-"
"5211503";"Itumbiara (GO)";"-";"-";"-";"...";"-";"42";"-";"-";"7";"-";"-";"2475";"-";"-";"-";"...";"-";"-";"-";"-";"...";"3405328";"...";"-";"-";"-";"-";"-";"-";"152";"-";"-";"-";"-";"112";"-";"-";"559";"-";"-";"-";"432";"-";"-";"-";"-";"-";"-";"800";"-";"-";"-";"-";"-";"77180";"-";"-";"-";"-";"-";"-";"-";"90720";"8000";"-";"-";"-";"-";"-";"-";"-"
"5211602";"Ivolândia (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"49740";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"528";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7500";"-";"-";"-";"-";"-";"-";"-";"-"
"5211701";"Jandaia (GO)";"-";"1303";"-";"...";"-";"-";"-";"-";"-";"-";"-";"32";"-";"-";"-";"...";"-";"-";"-";"-";"...";"748000";"...";"-";"-";"-";"-";"-";"-";"17";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"237";"-";"-";"-";"-";"-";"23008";"-";"-";"-";"-";"-";"-";"-";"28025";"1080";"-";"-";"-";"-";"-";"-";"-"
"5211800";"Jaraguá (GO)";"-";"19350";"-";"...";"-";"-";"-";"-";"76";"-";"-";"7740";"-";"-";"-";"...";"-";"-";"-";"-";"...";"21900";"...";"-";"-";"-";"-";"-";"-";"8";"-";"-";"-";"-";"114";"-";"-";"-";"-";"-";"-";"179";"-";"-";"-";"-";"90";"-";"3900";"-";"-";"-";"7140";"-";"10000";"-";"-";"-";"-";"-";"-";"-";"6600";"-";"142";"67";"-";"-";"-";"-";"-"
"5211909";"Jataí (GO)";"-";"-";"-";"...";"-";"3700";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"3000000";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"11310";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1605840";"-";"-";"-";"-";"-";"-";"-";"1061900";"19520";"-";"-";"-";"-";"-";"-";"-"
"5212006";"Jaupaci (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"100";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"990";"-";"-";"-";"-";"-";"1080";"-";"-";"-";"-";"-";"-";"-";"5400";"-";"-";"-";"-";"-";"-";"-";"-"
"5212055";"Jesúpolis (GO)";"-";"690";"-";"...";"-";"-";"-";"-";"10";"-";"-";"1192";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"480";"-";"-";"-";"-";"-";"119";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5212105";"Joviânia (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"134250";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"750";"-";"-";"660";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"93";"-";"-";"-";"-";"-";"59590";"-";"-";"-";"-";"-";"-";"-";"57000";"14000";"-";"-";"-";"-";"-";"-";"-"
"5212204";"Jussara (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"14720";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"225";"-";"-";"-";"200";"-";"2000";"-";"-";"-";"-";"-";"-";"-";"26240";"-";"-";"-";"-";"-";"-";"-";"-"
"5212253";"Lagoa Santa (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"100";"-";"-";"-";"-";"-";"50";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5212303";"Leopoldo de Bulhões (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"369";"-";"-";"-";"3630";"-";"-";"-";"-";"-";"-";"680";"-";"-";"-";"-";"-";"29400";"-";"-";"-";"-";"-";"-";"-";"25200";"1260";"220";"1300";"-";"-";"-";"-";"-"
"5212501";"Luziânia (GO)";"-";"-";"-";"...";"-";"13817";"158";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"28800";"-";"-";"3381";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"173955";"-";"-";"-";"-";"-";"-";"-";"207200";"15000";"-";"-";"15930";"-";"-";"-";"-"
"5212600";"Mairipotaba (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"131";"-";"-";"112";"-";"-";"17";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"418";"-";"-";"-";"-";"-";"-";"453";"-";"-";"-";"-";"-";"1493";"-";"-";"-";"-";"-";"-";"-";"10230";"3312";"-";"-";"-";"-";"-";"-";"-"
"5212709";"Mambaí (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"126";"-";"-";"-";"-";"-";"-";"-";"-"
"5212808";"Mara Rosa (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"300";"-";"-";"-";"...";"-";"-";"-";"-";"...";"288";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"560";"-";"-";"-";"-";"-";"4500";"-";"-";"-";"-";"-";"-";"-";"18000";"-";"-";"-";"-";"-";"-";"-";"-"
"5212907";"Marzagão (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"30";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"1095";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"105";"-";"-";"800";"-";"-";"-";"3960";"-";"-";"-";"-";"-";"-";"172";"-";"-";"-";"-";"-";"2120";"-";"-";"-";"-";"-";"-";"-";"3200";"134";"-";"-";"-";"-";"-";"-";"-"
"5212956";"Matrinchã (GO)";"-";"-";"-";"...";"-";"240";"-";"-";"1200";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"50";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2500";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"510";"-";"-";"-";"-";"-";"6600";"-";"-";"-";"-";"-";"-";"-";"8800";"-";"-";"-";"-";"-";"-";"-";"-"
"5213004";"Maurilândia (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"900000";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"168";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"130";"-";"-";"-";"1350";"-";"25000";"-";"-";"-";"-";"-";"-";"-";"30400";"2100";"-";"-";"-";"-";"-";"-";"-"
"5213053";"Mimoso de Goiás (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"600";"-";"-";"-";"-";"-";"108300";"-";"-";"-";"-";"-";"-";"-";"66000";"11200";"-";"-";"-";"-";"-";"-";"-"
"5213087";"Minaçu (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"40";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"972";"-";"-";"-";"-";"-";"952";"-";"-";"-";"-";"-";"-";"-";"4172";"-";"-";"-";"-";"-";"-";"-";"-"
"5213103";"Mineiros (GO)";"-";"-";"-";"...";"-";"2250";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"4500000";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4440";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"529350";"-";"-";"-";"-";"-";"-";"-";"363500";"10560";"-";"-";"-";"-";"-";"-";"-"
"5213400";"Moiporá (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"160";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"525";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"990";"-";"-";"-";"-";"-";"-";"-";"-"
"5213509";"Monte Alegre de Goiás (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"420";"-";"-";"-";"-";"-";"-";"-";"1410";"-";"-";"-";"-";"-";"-";"-";"-"
"5213707";"Montes Claros de Goiás (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"400";"-";"-";"-";"...";"-";"-";"-";"-";"...";"307516";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7840";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"990";"-";"-";"-";"-";"-";"11520";"-";"-";"-";"-";"-";"-";"-";"112200";"-";"-";"-";"-";"-";"-";"-";"-"
"5213756";"Montividiu (GO)";"-";"-";"-";"...";"-";"19140";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"106000";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5910";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"280";"-";"-";"-";"-";"-";"832080";"-";"-";"-";"-";"-";"-";"-";"421200";"9600";"-";"-";"-";"-";"-";"-";"-"
"5213772";"Montividiu do Norte (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"149";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1376";"-";"-";"-";"-";"-";"1247";"-";"-";"-";"-";"-";"-";"-";"10883";"-";"-";"-";"-";"-";"-";"-";"-"
"5213806";"Morrinhos (GO)";"-";"2000";"-";"...";"-";"3442";"-";"-";"25";"-";"-";"2226";"-";"-";"30";"...";"-";"-";"-";"-";"...";"1520000";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6600";"-";"-";"418";"2625";"-";"-";"2190";"-";"-";"-";"-";"-";"-";"1100";"-";"-";"-";"-";"-";"37600";"-";"1200";"-";"-";"-";"-";"-";"105600";"16640";"-";"185000";"-";"-";"-";"-";"-"
"5213855";"Morro Agudo de Goiás (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"40";"-";"-";"80";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"160";"-";"-";"-";"-";"-";"408";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5213905";"Mossâmedes (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"22000";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1190";"-";"-";"-";"-";"-";"1800";"-";"-";"-";"-";"-";"-";"-";"3150";"-";"-";"-";"-";"-";"-";"-";"-"
